Raw_Dist,RX_Power,FP_Power,Quality,True_Distance
0.55,-68.66,-74.71,141.62,0.508
0.53,-68.34,-75.39,202.69,0.508
0.54,-68.7,-74.58,148.13,0.508
0.51,-68.44,-75.46,181.98,0.508
0.54,-69.17,-74.77,158.92,0.508
0.53,-68.99,-75.02,160.21,0.508
0.57,-68.61,-72.9,151.33,0.508
0.53,-68.53,-72.98,140.55,0.508
0.54,-68.42,-75.69,179.23,0.508
0.55,-68.41,-75.7,180.68,0.508
0.54,-69.02,-73.28,146.44,0.508
0.54,-68.7,-73.06,150.25,0.508
0.53,-68.32,-72.55,139.39,0.508
0.55,-68.94,-73.22,136.46,0.508
0.53,-68.81,-72.9,141.0,0.508
0.54,-69.15,-73.41,129.04,0.508
0.54,-69.05,-73.12,147.94,0.508
0.56,-68.77,-73.18,148.08,0.508
0.52,-69.25,-73.8,133.66,0.508
0.52,-68.53,-72.64,137.21,0.508
0.56,-69.35,-73.6,140.75,0.508
0.54,-68.85,-73.29,137.48,0.508
0.53,-69.23,-73.34,138.23,0.508
0.54,-68.78,-73.13,128.93,0.508
0.53,-69.13,-73.5,122.12,0.508
0.52,-69.1,-73.43,131.87,0.508
0.53,-68.77,-73.11,130.7,0.508
0.53,-69.58,-73.68,126.41,0.508
0.53,-68.46,-72.72,126.97,0.508
0.53,-69.54,-73.99,122.22,0.508
0.52,-69.14,-73.3,125.33,0.508
0.53,-69.19,-73.54,123.77,0.508
0.53,-68.41,-72.84,132.88,0.508
0.53,-68.65,-73.1,130.62,0.508
0.54,-68.98,-73.35,125.13,0.508
0.54,-68.44,-72.78,129.6,0.508
0.53,-69.16,-73.42,126.88,0.508
0.51,-69.26,-73.39,139.29,0.508
0.52,-68.6,-73.0,128.97,0.508
0.51,-68.4,-72.51,129.43,0.508
0.52,-68.79,-73.09,138.55,0.508
0.52,-69.02,-73.29,132.14,0.508
0.52,-69.38,-73.92,126.73,0.508
0.54,-68.36,-72.77,134.37,0.508
0.53,-68.97,-73.43,126.22,0.508
0.52,-68.46,-72.59,137.98,0.508
0.53,-69.52,-73.81,119.48,0.508
0.54,-68.5,-72.74,128.97,0.508
0.52,-68.61,-72.73,137.39,0.508
0.54,-68.73,-73.13,126.43,0.508
0.53,-68.54,-72.95,139.98,0.508
0.53,-68.48,-72.61,129.18,0.508
0.51,-68.56,-72.82,128.67,0.508
0.52,-68.58,-72.6,149.58,0.508
0.51,-68.54,-72.55,139.11,0.508
0.53,-68.65,-73.01,120.22,0.508
0.51,-68.92,-73.28,124.47,0.508
0.51,-69.31,-73.45,137.73,0.508
0.52,-68.32,-72.56,142.29,0.508
0.51,-68.4,-72.59,131.72,0.508
0.54,-68.4,-72.78,132.98,0.508
0.55,-68.29,-72.71,134.43,0.508
0.54,-69.6,-74.12,123.13,0.508
0.54,-69.48,-73.82,123.75,0.508
0.53,-68.47,-72.71,127.83,0.508
0.53,-69.14,-73.41,134.82,0.508
0.51,-69.56,-74.09,131.0,0.508
0.55,-68.63,-72.87,138.02,0.508
0.53,-68.42,-72.79,131.58,0.508
0.54,-68.89,-73.25,127.88,0.508
0.53,-68.76,-73.1,133.2,0.508
0.53,-68.47,-72.71,135.03,0.508
0.54,-69.33,-73.76,133.37,0.508
0.52,-68.36,-72.63,133.75,0.508
0.54,-69.51,-73.78,132.36,0.508
0.54,-69.63,-73.88,128.04,0.508
0.55,-68.55,-72.94,141.64,0.508
0.52,-69.48,-75.85,142.52,0.508
0.54,-67.98,-74.8,193.35,0.508
0.52,-69.11,-75.02,158.1,0.508
0.55,-68.36,-75.25,180.95,0.508
0.55,-68.68,-74.68,147.75,0.508
0.55,-68.49,-75.1,205.61,0.508
0.56,-68.64,-74.4,152.1,0.508
0.54,-68.69,-74.49,147.96,0.508
0.54,-68.62,-74.25,151.85,0.508
0.53,-69.24,-74.88,159.25,0.508
0.52,-68.47,-73.99,156.63,0.508
0.55,-69.24,-74.93,145.27,0.508
0.53,-68.69,-73.78,164.46,0.508
0.52,-69.15,-74.06,142.5,0.508
0.53,-68.78,-73.11,150.83,0.508
0.5,-68.99,-73.04,143.35,0.508
0.5,-68.49,-72.62,137.61,0.508
0.5,-68.65,-72.97,138.91,0.508
0.49,-68.5,-72.62,147.81,0.508
0.49,-69.03,-73.25,140.85,0.508
0.49,-68.42,-72.65,148.92,0.508
0.48,-68.62,-72.71,147.87,0.508
0.5,-69.04,-73.16,134.45,0.508
0.51,-68.55,-72.83,130.32,0.508
0.51,-68.76,-72.86,129.48,0.508
0.51,-68.95,-73.2,133.73,0.508
0.53,-68.29,-72.61,133.67,0.508
0.54,-68.5,-72.59,139.55,0.508
0.54,-68.66,-72.94,129.48,0.508
0.54,-69.38,-73.69,145.62,0.508
0.53,-69.5,-74.0,129.25,0.508
0.55,-69.34,-73.67,140.4,0.508
0.55,-68.82,-73.03,134.75,0.508
0.55,-68.84,-73.15,134.34,0.508
0.54,-68.75,-72.97,138.27,0.508
0.54,-68.32,-72.61,130.12,0.508
0.56,-68.63,-72.74,134.36,0.508
0.56,-68.72,-73.11,128.58,0.508
0.56,-68.89,-73.32,131.43,0.508
0.54,-68.62,-72.58,145.98,0.508
0.54,-68.84,-72.87,136.79,0.508
0.56,-68.52,-72.86,134.62,0.508
0.56,-68.9,-73.17,132.45,0.508
0.53,-68.54,-72.69,126.87,0.508
0.53,-68.9,-72.83,146.73,0.508
0.53,-68.61,-72.62,148.17,0.508
0.53,-68.23,-72.61,133.25,0.508
0.51,-68.53,-72.64,137.16,0.508
0.51,-68.97,-73.31,133.21,0.508
0.52,-68.33,-72.39,140.84,0.508
0.52,-68.9,-73.16,133.37,0.508
0.52,-68.55,-72.52,149.79,0.508
0.49,-68.63,-72.86,139.18,0.508
0.53,-68.56,-72.71,151.27,0.508
0.51,-68.93,-73.38,138.04,0.508
0.5,-69.01,-73.26,141.19,0.508
0.51,-68.49,-72.64,137.18,0.508
0.51,-69.0,-73.22,140.04,0.508
0.51,-68.45,-72.57,138.89,0.508
0.5,-68.42,-72.53,139.61,0.508
0.49,-68.75,-73.38,144.87,0.508
0.49,-69.26,-73.85,127.43,0.508
0.51,-68.73,-73.49,133.14,0.508
0.49,-68.46,-73.05,150.17,0.508
0.51,-68.86,-73.05,147.04,0.508
0.51,-68.76,-73.11,147.88,0.508
0.52,-68.46,-72.9,154.98,0.508
0.52,-69.1,-74.1,139.38,0.508
0.49,-68.73,-73.87,144.9,0.508
0.5,-68.79,-73.65,158.06,0.508
0.51,-68.55,-73.5,136.55,0.508
0.5,-68.77,-73.34,141.46,0.508
0.51,-68.96,-73.58,129.54,0.508
0.5,-69.04,-73.51,139.73,0.508
0.5,-68.45,-72.68,149.27,0.508
0.5,-68.75,-73.52,145.1,0.508
0.49,-69.08,-74.12,137.5,0.508
0.51,-68.48,-73.3,148.88,0.508
0.51,-68.7,-74.1,159.25,0.508
0.51,-68.24,-73.45,152.4,0.508
