A0_Raw_Dist,A0_RX_Power,A0_FP_Power,A0_Quality,A0_True_Distance,A1_Raw_Dist,A1_RX_Power,A1_FP_Power,A1_Quality,A1_True_Distance,A2_Raw_Dist,A2_RX_Power,A2_FP_Power,A2_Quality,A2_True_Distance,A3_Raw_Dist,A3_RX_Power,A3_FP_Power,A3_Quality,A3_True_Distance
0.65,-58.51,-72.28,109.80,0.8635999999999999,0.72,-55.71,-74.72,152.14,0.8000999999999999,2.16,-57.74,-74.58,188.37,1.9685,1.64,-57.96,-76.29,103.97,1.8796
0.68,-56.91,-71.66,151.87,0.8635999999999999,0.73,-55.82,-72.52,105.93,0.8000999999999999,2.21,-57.63,-75.89,158.04,1.9685,1.65,-57.59,-76.31,100.98,1.8796
0.69,-56.90,-74.65,123.33,0.8635999999999999,0.69,-56.37,-75.49,138.41,0.8000999999999999,2.16,-56.99,-75.61,201.90,1.9685,1.65,-57.83,-72.53,167.86,1.8796
0.66,-59.41,-75.80,119.72,0.8635999999999999,0.73,-55.24,-72.89,166.86,0.8000999999999999,2.12,-57.99,-73.29,140.25,1.9685,1.73,-58.00,-77.21,153.25,1.8796
0.68,-57.10,-75.09,136.69,0.8635999999999999,0.71,-55.05,-78.23,147.25,0.8000999999999999,2.12,-58.43,-78.09,166.42,1.9685,1.81,-59.52,-78.82,136.54,1.8796
0.63,-57.96,-75.57,95.36,0.8635999999999999,0.73,-55.31,-73.10,129.83,0.8000999999999999,2.39,-58.18,-77.53,157.54,1.9685,1.73,-58.14,-75.91,96.45,1.8796
0.67,-56.82,-73.61,127.75,0.8635999999999999,0.72,-55.16,-74.36,139.25,0.8000999999999999,2.48,-58.71,-76.18,151.82,1.9685,1.73,-58.86,-75.49,139.78,1.8796
0.68,-58.76,-75.65,130.09,0.8635999999999999,0.72,-54.95,-74.46,144.41,0.8000999999999999,2.28,-57.53,-73.96,188.33,1.9685,1.78,-58.73,-78.64,125.50,1.8796
0.68,-58.27,-76.02,116.08,0.8635999999999999,0.69,-55.06,-72.22,198.46,0.8000999999999999,2.29,-56.26,-72.56,193.92,1.9685,1.87,-63.16,-81.45,68.96,1.8796
0.68,-58.41,-74.57,121.53,0.8635999999999999,0.69,-55.60,-74.74,111.97,0.8000999999999999,2.24,-57.35,-74.73,137.44,1.9685,1.97,-61.96,-79.39,93.10,1.8796
0.70,-57.77,-73.22,115.18,0.8635999999999999,0.74,-55.07,-74.10,137.06,0.8000999999999999,1.92,-56.95,-74.83,144.32,1.9685,1.79,-61.45,-89.10,29.68,1.8796
0.65,-57.59,-77.49,119.11,0.8635999999999999,0.75,-54.51,-72.94,147.91,0.8000999999999999,1.87,-56.55,-76.57,131.00,1.9685,1.95,-60.34,-74.21,123.44,1.8796
0.69,-56.84,-73.97,124.39,0.8635999999999999,0.73,-54.21,-75.60,157.07,0.8000999999999999,1.89,-57.24,-76.59,136.37,1.9685,1.93,-61.45,-91.53,70.60,1.8796
0.69,-56.08,-74.24,127.33,0.8635999999999999,0.73,-56.32,-77.67,125.75,0.8000999999999999,1.89,-57.70,-74.20,132.81,1.9685,2.51,-63.25,-77.75,147.39,1.8796
