A0_Raw_Dist,A0_RX_Power,A0_FP_Power,A0_Quality,A0_True_Distance,A1_Raw_Dist,A1_RX_Power,A1_FP_Power,A1_Quality,A1_True_Distance,A2_Raw_Dist,A2_RX_Power,A2_FP_Power,A2_Quality,A2_True_Distance,A3_Raw_Dist,A3_RX_Power,A3_FP_Power,A3_Quality,A3_True_Distance
2.09,-57.78,-75.53,282.19,2.3622,2.67,-56.18,-86.73,115.46,2.8194,0.35,-57.31,-75.68,107.09,0.4572,2.03,-57.83,-81.34,83.16,1.7271999999999998
2.10,-58.24,-76.38,218.80,2.3622,2.70,-55.79,-82.69,141.08,2.8194,0.36,-56.77,-74.72,105.87,0.4572,2.07,-57.41,-80.67,91.70,1.7271999999999998
2.09,-58.95,-78.09,162.71,2.3622,2.64,-56.90,-84.76,107.29,2.8194,0.35,-55.84,-76.24,140.69,0.4572,2.02,-58.05,-79.25,122.75,1.7271999999999998
2.11,-57.50,-75.49,186.46,2.3622,2.67,-57.05,-84.17,113.14,2.8194,0.35,-56.37,-71.90,170.57,0.4572,2.04,-58.07,-79.46,122.44,1.7271999999999998
2.09,-58.97,-79.68,258.00,2.3622,2.65,-56.84,-88.89,101.11,2.8194,0.34,-56.19,-73.37,169.18,0.4572,2.03,-58.26,-80.10,160.50,1.7271999999999998
2.09,-60.20,-77.02,211.55,2.3622,2.63,-56.16,-89.79,101.04,2.8194,0.34,-56.94,-72.26,146.12,0.4572,2.01,-60.00,-84.14,115.61,1.7271999999999998
2.10,-59.58,-78.66,257.06,2.3622,2.64,-57.85,-88.07,110.57,2.8194,0.35,-56.61,-72.93,168.82,0.4572,2.02,-60.26,-79.03,141.50,1.7271999999999998
2.07,-59.58,-76.11,223.45,2.3622,2.62,-57.16,-88.69,104.54,2.8194,0.37,-56.17,-72.29,118.78,0.4572,2.04,-60.45,-80.03,120.87,1.7271999999999998
2.07,-59.25,-75.95,274.37,2.3622,2.65,-57.08,-84.50,116.79,2.8194,0.35,-56.11,-74.30,163.18,0.4572,2.02,-59.22,-79.34,107.64,1.7271999999999998
2.12,-58.44,-76.68,182.00,2.3622,2.67,-56.05,-83.65,104.07,2.8194,0.36,-56.36,-77.41,126.31,0.4572,2.02,-59.41,-82.74,104.91,1.7271999999999998
2.11,-59.53,-76.82,219.15,2.3622,2.67,-55.82,-85.14,138.25,2.8194,0.34,-55.79,-73.90,144.03,0.4572,2.05,-59.90,-78.53,165.08,1.7271999999999998
2.08,-59.67,-79.28,205.60,2.3622,2.65,-56.68,-85.39,118.18,2.8194,0.36,-56.47,-73.57,119.75,0.4572,2.03,-60.46,-76.32,150.39,1.7271999999999998
2.10,-60.61,-77.23,266.50,2.3622,2.65,-57.80,-88.60,108.00,2.8194,0.34,-56.17,-75.87,120.61,0.4572,2.01,-60.31,-78.17,145.61,1.7271999999999998
2.10,-59.21,-75.04,227.00,2.3622,2.65,-56.50,-88.08,113.75,2.8194,0.34,-56.29,-78.70,117.33,0.4572,2.00,-60.88,-80.02,188.40,1.7271999999999998
2.11,-60.40,-77.76,201.10,2.3622,2.62,-57.70,-89.83,104.79,2.8194,0.36,-56.94,-73.31,148.19,0.4572,2.07,-61.21,-79.34,155.50,1.7271999999999998
2.11,-59.68,-77.14,176.12,2.3622,2.63,-57.27,-89.00,100.79,2.8194,0.36,-56.41,-78.64,130.12,0.4572,2.02,-59.63,-76.44,150.21,1.7271999999999998
2.11,-59.18,-76.15,277.19,2.3622,2.63,-58.25,-89.52,98.82,2.8194,0.36,-56.87,-73.13,146.87,0.4572,1.99,-60.97,-81.38,127.71,1.7271999999999998
2.10,-60.13,-79.20,194.50,2.3622,2.63,-57.99,-90.38,108.92,2.8194,0.33,-56.67,-78.13,121.56,0.4572,1.98,-60.51,-81.30,148.62,1.7271999999999998
2.08,-59.69,-78.03,212.15,2.3622,2.61,-58.21,-90.49,104.62,2.8194,0.37,-56.69,-73.20,132.22,0.4572,2.04,-59.16,-78.22,127.59,1.7271999999999998
2.09,-59.46,-75.09,222.15,2.3622,2.60,-57.07,-89.44,112.33,2.8194,0.36,-56.50,-76.55,127.81,0.4572,2.01,-59.56,-78.47,143.11,1.7271999999999998
2.11,-59.82,-76.24,275.94,2.3622,2.61,-58.87,-89.78,91.14,2.8194,0.36,-56.09,-73.52,148.84,0.4572,2.00,-59.70,-76.23,130.25,1.7271999999999998
2.09,-60.11,-76.15,268.00,2.3622,2.62,-57.51,-89.74,106.29,2.8194,0.34,-57.37,-76.82,119.69,0.4572,2.00,-59.51,-77.75,129.78,1.7271999999999998
2.09,-59.93,-76.75,263.69,2.3622,2.60,-57.66,-89.80,108.46,2.8194,0.37,-56.67,-72.36,147.12,0.4572,2.09,-60.01,-77.44,131.69,1.7271999999999998
2.10,-59.31,-75.61,281.19,2.3622,2.61,-58.39,-90.30,102.00,2.8194,0.36,-56.93,-75.96,120.86,0.4572,2.05,-59.85,-78.21,128.03,1.7271999999999998
2.12,-59.45,-76.59,275.44,2.3622,2.62,-57.40,-89.43,115.75,2.8194,0.35,-56.50,-73.38,136.41,0.4572,2.02,-59.68,-77.33,130.59,1.7271999999999998
2.09,-58.95,-76.07,274.62,2.3622,2.62,-57.48,-89.49,114.50,2.8194,0.36,-56.30,-74.22,125.28,0.4572,2.05,-60.34,-77.93,147.14,1.7271999999999998
2.09,-60.36,-78.83,243.69,2.3622,2.59,-59.25,-89.87,109.17,2.8194,0.35,-55.93,-75.02,144.12,0.4572,2.00,-60.26,-77.57,147.79,1.7271999999999998
2.11,-59.36,-75.78,220.75,2.3622,2.62,-58.89,-89.78,110.71,2.8194,0.37,-56.57,-73.01,127.33,0.4572,2.02,-59.35,-79.07,139.79,1.7271999999999998
2.11,-59.68,-76.41,218.20,2.3622,2.59,-58.62,-90.16,78.78,2.8194,0.36,-56.15,-73.21,145.91,0.4572,2.00,-60.52,-81.98,109.59,1.7271999999999998
2.09,-59.65,-75.47,219.75,2.3622,2.60,-58.36,-90.18,86.79,2.8194,0.35,-56.08,-74.00,148.37,0.4572,2.04,-59.50,-77.25,117.19,1.7271999999999998
2.09,-59.07,-74.53,229.35,2.3622,2.61,-56.74,-90.17,75.96,2.8194,0.34,-56.46,-75.77,145.78,0.4572,2.03,-58.97,-76.83,150.46,1.7271999999999998
2.10,-58.55,-77.88,214.80,2.3622,2.62,-56.80,-89.52,117.92,2.8194,0.37,-56.87,-73.10,145.34,0.4572,2.07,-58.60,-77.52,132.12,1.7271999999999998
2.10,-59.21,-77.20,273.75,2.3622,2.62,-58.27,-90.49,95.17,2.8194,0.35,-56.07,-73.07,147.16,0.4572,2.05,-58.75,-77.64,146.29,1.7271999999999998
2.11,-59.00,-76.06,186.37,2.3622,2.62,-56.45,-90.29,84.83,2.8194,0.34,-56.22,-73.98,168.00,0.4572,2.01,-59.16,-78.68,140.14,1.7271999999999998
2.10,-59.12,-76.07,277.50,2.3622,2.62,-56.83,-89.83,117.62,2.8194,0.33,-56.60,-77.95,149.89,0.4572,2.00,-59.88,-77.43,147.75,1.7271999999999998
2.10,-59.70,-77.92,240.75,2.3622,2.63,-56.66,-89.64,89.06,2.8194,0.33,-57.01,-74.68,127.53,0.4572,2.00,-60.08,-77.74,147.11,1.7271999999999998
2.10,-59.16,-76.00,275.69,2.3622,2.62,-57.65,-90.55,92.82,2.8194,0.33,-55.67,-74.30,146.87,0.4572,2.02,-59.97,-77.84,146.61,1.7271999999999998
2.10,-59.73,-76.76,261.37,2.3622,2.61,-57.25,-89.98,94.21,2.8194,0.38,-56.93,-73.07,145.03,0.4572,2.04,-58.68,-77.03,149.54,1.7271999999999998
2.11,-59.18,-75.61,224.25,2.3622,2.64,-58.08,-90.05,102.37,2.8194,0.35,-56.56,-74.44,128.78,0.4572,2.08,-58.26,-77.91,147.43,1.7271999999999998
2.08,-59.79,-77.79,213.15,2.3622,2.62,-57.72,-89.70,141.85,2.8194,0.36,-56.89,-74.72,146.50,0.4572,2.05,-58.80,-79.03,161.33,1.7271999999999998
