A0_Raw_Dist,A0_RX_Power,A0_FP_Power,A0_Quality,A0_True_Distance,A1_Raw_Dist,A1_RX_Power,A1_FP_Power,A1_Quality,A1_True_Distance,A2_Raw_Dist,A2_RX_Power,A2_FP_Power,A2_Quality,A2_True_Distance,A3_Raw_Dist,A3_RX_Power,A3_FP_Power,A3_Quality,A3_True_Distance,A4_Raw_Dist,A4_RX_Power,A4_FP_Power,A4_Quality,A4_True_Distance,A5_Raw_Dist,A5_RX_Power,A5_FP_Power,A5_Quality,A5_True_Distance,A6_Raw_Dist,A6_RX_Power,A6_FP_Power,A6_Quality,A6_True_Distance,A7_Raw_Dist,A7_RX_Power,A7_FP_Power,A7_Quality,A7_True_Distance
0.42,-59.09,-75.02,117.53,0.5588,1.15,-55.98,-77.71,128.12,1.07315,2.22,-59.42,-76.27,102.91,2.5019,2.32,-59.05,-76.34,152.64,2.6289,0.49,-56.46,-72.04,169.68,0.5841999999999999,1.25,-59.38,-77.31,102.80,1.1493499999999999,2.33,-56.34,-74.45,162.11,2.48285,2.20,-57.55,-74.19,129.56,2.63525
0.42,-58.21,-74.07,112.45,0.5588,1.09,-57.99,-75.19,280.25,1.07315,2.20,-59.85,-76.06,121.33,2.5019,2.33,-57.75,-72.39,148.25,2.6289,0.49,-58.02,-73.53,161.71,0.5841999999999999,1.27,-59.88,-80.41,133.86,1.1493499999999999,2.32,-56.64,-80.62,136.11,2.48285,2.22,-57.52,-74.70,127.08,2.63525
0.40,-57.66,-74.62,115.50,0.5588,1.13,-58.35,-75.20,181.87,1.07315,2.24,-59.16,-74.14,130.78,2.5019,2.31,-57.69,-75.40,164.04,2.6289,0.49,-56.76,-74.32,144.03,0.5841999999999999,1.24,-58.54,-76.54,115.22,1.1493499999999999,2.33,-56.49,-76.73,135.50,2.48285,2.21,-57.61,-74.32,139.94,2.63525
0.42,-57.91,-76.10,142.19,0.5588,1.13,-57.11,-78.93,145.25,1.07315,2.23,-58.91,-73.85,169.21,2.5019,2.33,-56.96,-74.42,157.71,2.6289,0.50,-57.98,-73.24,166.64,0.5841999999999999,1.24,-57.56,-73.81,128.78,1.1493499999999999,2.35,-56.65,-75.70,138.37,2.48285,2.23,-57.54,-74.50,112.08,2.63525
0.39,-58.04,-74.97,114.90,0.5588,1.13,-56.23,-75.92,151.50,1.07315,2.22,-59.15,-75.21,123.44,2.5019,2.33,-58.06,-75.93,148.39,2.6289,0.48,-58.27,-75.76,177.79,0.5841999999999999,1.27,-57.51,-73.58,146.09,1.1493499999999999,2.35,-56.14,-77.94,104.05,2.48285,2.23,-57.71,-76.59,106.87,2.63525
0.41,-58.82,-75.47,120.08,0.5588,1.08,-57.61,-76.30,149.96,1.07315,2.22,-58.96,-75.29,143.03,2.5019,2.34,-57.82,-75.57,149.18,2.6289,0.49,-56.64,-72.09,167.93,0.5841999999999999,1.27,-57.99,-75.79,125.64,1.1493499999999999,2.34,-56.71,-78.04,125.62,2.48285,2.22,-57.70,-74.35,143.53,2.63525
0.37,-59.01,-75.45,163.54,0.5588,1.10,-56.65,-75.72,182.92,1.07315,2.23,-58.86,-73.67,164.64,2.5019,2.34,-57.85,-75.47,117.56,2.6289,0.50,-56.93,-75.46,142.31,0.5841999999999999,1.27,-57.22,-73.24,129.11,1.1493499999999999,2.35,-56.61,-77.68,114.67,2.48285,2.22,-58.48,-76.82,135.53,2.63525
0.42,-59.70,-74.82,128.78,0.5588,1.12,-55.93,-73.95,159.82,1.07315,2.20,-58.21,-73.04,145.91,2.5019,2.32,-58.09,-76.07,118.33,2.6289,0.48,-57.27,-72.08,145.75,0.5841999999999999,1.24,-57.80,-76.39,136.59,1.1493499999999999,2.34,-56.92,-77.19,132.19,2.48285,2.21,-59.13,-76.44,141.46,2.63525
0.42,-59.25,-74.70,100.84,0.5588,1.10,-55.49,-75.14,146.89,1.07315,2.22,-59.72,-77.20,142.61,2.5019,2.33,-57.01,-73.04,165.61,2.6289,0.49,-58.04,-76.70,146.50,0.5841999999999999,1.24,-58.07,-77.34,125.06,1.1493499999999999,2.33,-56.61,-77.78,117.78,2.48285,2.22,-58.36,-74.34,142.06,2.63525
0.40,-59.36,-74.98,105.82,0.5588,1.16,-55.91,-78.96,125.59,1.07315,2.22,-59.20,-73.93,143.47,2.5019,2.33,-57.57,-75.46,160.79,2.6289,0.49,-57.76,-75.30,147.75,0.5841999999999999,1.28,-57.39,-73.71,163.14,1.1493499999999999,2.33,-56.13,-76.24,134.56,2.48285,2.20,-58.49,-74.44,145.34,2.63525
0.39,-58.71,-73.18,109.34,0.5588,1.11,-56.40,-79.66,146.00,1.07315,2.21,-59.30,-73.21,144.28,2.5019,2.32,-58.21,-79.20,144.61,2.6289,0.48,-57.92,-79.27,145.04,0.5841999999999999,1.26,-57.68,-75.48,135.09,1.1493499999999999,2.36,-56.22,-76.74,132.72,2.48285,2.21,-58.47,-76.46,138.41,2.63525
0.40,-57.93,-75.39,139.62,0.5588,1.13,-56.74,-75.73,155.79,1.07315,2.22,-58.76,-74.62,165.18,2.5019,2.33,-57.68,-74.24,161.36,2.6289,0.46,-57.41,-75.52,163.39,0.5841999999999999,1.27,-57.23,-73.61,106.32,1.1493499999999999,2.34,-56.67,-76.86,135.75,2.48285,2.18,-57.51,-72.30,126.64,2.63525
0.40,-58.45,-75.92,163.68,0.5588,1.12,-57.76,-79.22,129.11,1.07315,2.21,-58.70,-73.38,148.12,2.5019,2.33,-57.49,-72.49,145.50,2.6289,0.51,-56.96,-75.06,166.50,0.5841999999999999,1.26,-58.17,-76.22,102.65,1.1493499999999999,2.33,-56.44,-74.58,158.54,2.48285,2.20,-57.96,-73.89,144.56,2.63525
0.42,-59.21,-75.87,181.46,0.5588,1.11,-57.81,-77.21,175.96,1.07315,2.20,-58.67,-72.73,131.72,2.5019,2.31,-57.94,-77.98,151.61,2.6289,0.50,-58.86,-77.45,145.54,0.5841999999999999,1.25,-56.92,-76.00,125.25,1.1493499999999999,2.33,-56.96,-75.49,133.12,2.48285,2.20,-57.92,-73.79,158.18,2.63525
0.42,-58.02,-74.71,229.15,0.5588,1.13,-58.19,-75.77,156.89,1.07315,2.24,-58.98,-76.84,120.72,2.5019,2.33,-57.14,-75.75,162.00,2.6289,0.47,-57.51,-73.17,167.39,0.5841999999999999,1.26,-57.44,-74.37,109.35,1.1493499999999999,2.33,-57.22,-78.44,126.69,2.48285,2.19,-57.97,-75.88,187.08,2.63525
0.39,-58.46,-79.20,197.30,0.5588,1.14,-58.44,-78.14,151.25,1.07315,2.20,-58.69,-75.03,138.25,2.5019,2.32,-56.59,-74.67,162.82,2.6289,0.48,-57.45,-73.70,169.25,0.5841999999999999,1.27,-56.79,-77.21,119.67,1.1493499999999999,2.33,-56.84,-76.55,119.72,2.48285,2.18,-57.95,-73.38,166.57,2.63525
0.41,-57.86,-72.71,191.79,0.5588,1.14,-57.37,-80.54,124.89,1.07315,2.23,-58.94,-75.73,163.82,2.5019,2.33,-57.73,-76.63,169.33,2.6289,0.49,-59.53,-75.38,153.18,0.5841999999999999,1.29,-56.85,-74.62,122.11,1.1493499999999999,2.30,-56.49,-76.55,152.11,2.48285,2.20,-58.26,-74.52,144.69,2.63525
0.43,-57.73,-73.42,236.50,0.5588,1.11,-57.20,-77.38,147.96,1.07315,2.21,-58.47,-73.06,130.86,2.5019,2.35,-57.51,-75.82,177.04,2.6289,0.48,-57.98,-74.12,167.32,0.5841999999999999,1.28,-56.83,-75.58,101.59,1.1493499999999999,2.30,-57.46,-80.15,137.54,2.48285,2.21,-58.58,-77.38,143.82,2.63525
0.43,-58.14,-76.61,264.81,0.5588,1.16,-56.58,-76.10,136.06,1.07315,2.22,-58.63,-73.82,146.50,2.5019,2.33,-57.09,-74.98,163.25,2.6289,0.49,-58.42,-74.54,164.39,0.5841999999999999,1.27,-55.79,-73.09,126.64,1.1493499999999999,2.33,-56.60,-76.61,134.41,2.48285,2.17,-59.09,-76.11,110.00,2.63525
0.43,-57.79,-72.56,192.33,0.5588,1.12,-56.44,-74.26,135.31,1.07315,2.21,-58.87,-76.57,126.17,2.5019,2.31,-57.56,-76.07,189.29,2.6289,0.49,-58.82,-74.12,139.69,0.5841999999999999,1.28,-56.59,-73.33,129.22,1.1493499999999999,2.32,-57.72,-79.02,135.75,2.48285,2.20,-57.93,-73.89,164.96,2.63525
0.41,-57.05,-74.26,229.15,0.5588,1.12,-56.06,-73.91,125.86,1.07315,2.21,-58.13,-74.03,145.47,2.5019,2.32,-57.56,-72.58,165.39,2.6289,0.47,-58.12,-71.92,167.96,0.5841999999999999,1.27,-55.83,-74.35,121.53,1.1493499999999999,2.32,-56.76,-74.84,136.94,2.48285,2.18,-57.98,-73.12,130.44,2.63525
0.45,-57.39,-73.80,232.45,0.5588,1.12,-55.58,-74.80,140.12,1.07315,2.20,-58.82,-73.31,129.17,2.5019,2.33,-57.71,-76.90,157.04,2.6289,0.48,-59.92,-76.16,171.54,0.5841999999999999,1.27,-56.91,-79.35,91.16,1.1493499999999999,2.35,-56.67,-77.39,131.56,2.48285,2.18,-58.00,-72.83,104.77,2.63525
0.44,-56.81,-73.08,292.75,0.5588,1.15,-55.59,-78.34,145.79,1.07315,2.21,-57.93,-74.57,116.95,2.5019,2.33,-57.28,-76.75,180.33,2.6289,0.48,-57.82,-72.88,147.09,0.5841999999999999,1.27,-56.75,-73.39,142.75,1.1493499999999999,2.32,-56.64,-74.73,139.59,2.48285,2.20,-57.51,-72.52,104.61,2.63525
0.44,-58.29,-73.08,236.35,0.5588,1.11,-56.64,-79.78,145.71,1.07315,2.23,-59.02,-79.39,108.64,2.5019,2.32,-57.74,-72.94,145.87,2.6289,0.48,-59.67,-76.44,156.00,0.5841999999999999,1.27,-57.55,-74.19,112.57,1.1493499999999999,2.33,-56.81,-74.64,123.94,2.48285,2.20,-56.86,-72.37,147.22,2.63525
0.45,-58.14,-73.25,195.62,0.5588,1.13,-56.35,-76.38,154.64,1.07315,2.23,-58.00,-74.85,138.87,2.5019,2.32,-59.14,-77.14,143.11,2.6289,0.49,-58.96,-75.41,119.72,0.5841999999999999,1.24,-55.81,-74.94,124.69,1.1493499999999999,2.35,-56.49,-75.14,123.69,2.48285,2.22,-57.58,-77.42,124.44,2.63525
0.43,-58.01,-73.55,195.79,0.5588,1.14,-56.36,-76.11,120.59,1.07315,2.21,-58.94,-74.56,134.28,2.5019,2.31,-56.99,-72.36,195.04,2.6289,0.48,-59.22,-74.58,134.06,0.5841999999999999,1.28,-56.96,-75.04,134.53,1.1493499999999999,2.35,-56.75,-75.85,122.81,2.48285,2.21,-57.97,-73.18,192.58,2.63525
0.40,-58.23,-72.75,232.30,0.5588,1.11,-56.96,-73.82,137.69,1.07315,2.21,-59.27,-76.48,157.82,2.5019,2.33,-56.86,-73.55,165.96,2.6289,0.47,-57.25,-72.22,169.68,0.5841999999999999,1.29,-56.79,-76.42,112.45,1.1493499999999999,2.34,-57.00,-77.98,116.08,2.48285,2.21,-56.96,-72.37,117.95,2.63525
