A0_Raw_Dist,A0_RX_Power,A0_FP_Power,A0_Quality,A0_True_Distance,A1_Raw_Dist,A1_RX_Power,A1_FP_Power,A1_Quality,A1_True_Distance,A2_Raw_Dist,A2_RX_Power,A2_FP_Power,A2_Quality,A2_True_Distance,A3_Raw_Dist,A3_RX_Power,A3_FP_Power,A3_Quality,A3_True_Distance,A4_Raw_Dist,A4_RX_Power,A4_FP_Power,A4_Quality,A4_True_Distance,A5_Raw_Dist,A5_RX_Power,A5_FP_Power,A5_Quality,A5_True_Distance,A6_Raw_Dist,A6_RX_Power,A6_FP_Power,A6_Quality,A6_True_Distance,A7_Raw_Dist,A7_RX_Power,A7_FP_Power,A7_Quality,A7_True_Distance
2.31,-65.00,-90.27,114.20,2.0827999999999998,2.08,-61.31,-77.29,251.38,2.2098,-1.00,0.00,0.00,0.00,2.286,2.05,-57.43,-74.77,193.33,2.2479,1.65,-60.42,-76.11,166.62,1.8288,1.71,-60.80,-75.35,210.50,1.86055,1.78,-59.47,-76.17,126.42,2.0446999999999997,1.97,-57.75,-79.27,175.88,1.9685
1.97,-60.30,-75.49,177.62,2.0827999999999998,2.11,-61.47,-75.34,279.44,2.2098,-1.00,0.00,0.00,0.00,2.286,2.04,-57.90,-77.09,179.25,2.2479,1.69,-63.58,-79.79,205.90,1.8288,1.67,-60.50,-77.92,203.05,1.86055,1.76,-59.23,-74.27,144.69,2.0446999999999997,1.95,-58.51,-78.92,177.62,1.9685
1.82,-61.44,-74.00,158.04,2.0827999999999998,2.11,-60.01,-76.23,277.56,2.2098,-1.00,0.00,0.00,0.00,2.286,2.07,-57.03,-77.34,154.71,2.2479,1.69,-63.52,-76.64,184.96,1.8288,1.70,-59.35,-73.91,227.15,1.86055,1.80,-58.77,-75.63,112.90,2.0446999999999997,1.96,-58.42,-80.20,193.20,1.9685
1.89,-57.96,-70.17,172.71,2.0827999999999998,2.07,-61.34,-78.23,266.25,2.2098,-1.00,0.00,0.00,0.00,2.286,2.05,-57.28,-76.74,187.29,2.2479,1.67,-63.52,-75.16,217.45,1.8288,1.68,-59.10,-74.72,229.60,1.86055,1.78,-59.31,-72.43,148.91,2.0446999999999997,1.96,-57.68,-80.04,196.35,1.9685
1.84,-61.96,-75.06,168.88,2.0827999999999998,2.11,-60.04,-79.53,202.35,2.2098,-1.00,0.00,0.00,0.00,2.286,2.04,-58.29,-76.72,175.12,2.2479,1.66,-64.19,-78.50,164.29,1.8288,1.69,-58.77,-76.27,222.10,1.86055,1.79,-59.30,-75.50,96.75,2.0446999999999997,1.97,-67.71,-81.09,139.00,1.9685
1.82,-60.46,-76.40,150.54,2.0827999999999998,2.07,-60.95,-76.56,218.80,2.2098,-1.00,0.00,0.00,0.00,2.286,2.07,-58.14,-76.99,168.29,2.2479,1.68,-63.17,-74.19,165.46,1.8288,1.70,-59.20,-73.98,195.88,1.86055,1.79,-58.73,-72.76,147.31,2.0446999999999997,1.97,-58.20,-79.38,209.55,1.9685
1.85,-60.17,-73.11,167.64,2.0827999999999998,2.08,-60.56,-77.36,270.88,2.2098,-1.00,0.00,0.00,0.00,2.286,2.08,-69.61,-74.19,194.29,2.2479,1.67,-63.41,-78.59,180.12,1.8288,1.69,-59.26,-73.92,196.50,1.86055,1.79,-59.49,-77.97,114.83,2.0446999999999997,1.97,-57.84,-78.07,178.96,1.9685
1.85,-61.56,-75.94,126.53,2.0827999999999998,2.09,-60.26,-76.28,221.95,2.2098,-1.00,0.00,0.00,0.00,2.286,2.07,-57.94,-76.53,184.79,2.2479,1.66,-63.29,-74.61,226.95,1.8288,1.69,-59.77,-76.79,213.70,1.86055,1.78,-59.33,-77.24,138.78,2.0446999999999997,1.96,-57.52,-79.35,176.12,1.9685
1.85,-59.99,-72.80,160.93,2.0827999999999998,2.10,-61.08,-76.72,265.50,2.2098,-1.00,0.00,0.00,0.00,2.286,2.05,-57.65,-73.66,190.58,2.2479,1.69,-62.63,-77.19,216.80,1.8288,1.69,-59.60,-75.14,191.62,1.86055,1.79,-58.96,-75.40,127.75,2.0446999999999997,1.96,-58.35,-78.33,180.29,1.9685
1.83,-59.02,-73.40,166.89,2.0827999999999998,2.12,-60.47,-76.88,207.20,2.2098,-1.00,0.00,0.00,0.00,2.286,2.05,-58.29,-75.79,188.54,2.2479,1.68,-62.80,-77.13,220.05,1.8288,1.68,-59.53,-74.16,197.88,1.86055,1.80,-59.76,-74.74,135.56,2.0446999999999997,1.95,-57.53,-78.56,211.00,1.9685
