TR1,TR2,TP1,TP2
43977564,216002648,43910878,215936164
44082219,216225172,44015522,216158677
44073701,216307406,44007016,216240923
43944882,216165364,43878204,216098894
43997331,216054569,43930641,215988077
43946347,216061004,43879666,215994517
44004507,216376088,43937837,216309605
43936734,216102364,43870049,216035874
43981064,215993511,43914387,215927032
43990614,216107356,43923939,216040874
44027355,216271841,43960678,216205349
44026777,216158241,43960103,216091751
44070276,216313386,44003596,216246908
44069220,216229970,44002539,216163484
44013427,216033335,43946746,215966861
43944940,216153031,43878246,216086548
43958948,216158984,43892260,216092508
43997075,216148003,43930380,216081517
43988588,216130346,43921922,216063892
44056415,216137308,43989731,216070817
44033089,216264035,43966408,216197567
43978609,216078393,43911925,216011919
43967729,216086199,43901052,216019727
44020438,216330456,43953757,216263978
44052200,216222909,43985526,216156440
44072218,216278665,44005543,216212198
43999593,216151073,43932925,216084631
44052013,216107366,43985337,216040915
43973419,216061060,43906725,215994581
44112468,216125794,44045761,216059308
44053354,216182854,43986660,216116374
43957388,216204566,43890699,216138100
44035017,216323548,43968332,216257079
44078896,216229490,44012215,216163024
44019291,216012109,43952602,215945637
44028797,216276001,43962117,216209539
43952875,216232144,43886181,216165653
43927736,216190693,43861053,216124232
44004124,216031888,43937439,215965412
44067807,216060878,44001110,215994401
43914974,216144583,43848294,216078114
43995639,216053669,43928948,215987209
43961579,216163519,43894889,216097045
43963365,216153013,43896688,216086555
43909372,216066201,43842704,215999748
43948526,216018896,43881829,215952402
43946028,215972243,43879316,215905748
43962411,216024923,43895735,215958485
44080737,216298291,44014065,216231839
44022472,216086230,43955777,216019768
44049217,216313957,43982540,216247487
44061090,216366081,43994397,216299614
43872234,216184748,43805547,216118294
44058108,216361370,43991426,216294916
44049404,216317861,43982716,216251396
43967920,216134652,43901224,216068176
44097942,216138273,44031259,216071786
43958168,216032275,43891486,215965800
44034445,216349204,43967766,216282739
44039584,216083987,43972885,216017504
43958653,216031259,43891967,215964803
44027169,216271993,43960498,216205535
44017907,216107698,43951213,216041229
43951902,215968912,43885220,215902434
44008831,216096284,43942156,216029825
44013606,216043908,43946920,215977434
43988766,216057994,43922083,215991522
43923500,216174448,43856815,216107988
43999115,216145937,43932433,216079477
43960034,216165566,43893357,216099102
44034149,216321879,43967437,216255387
44068826,216230332,44002147,216163878
44086124,216090680,44019434,216024212
44037391,216154772,43970705,216088305
44020338,216361760,43953653,216295310
44072356,216350714,44005671,216284252
44079793,216268527,44013101,216202063
44011956,215987688,43945254,215921228
43999960,216374978,43933278,216308520
43996666,216110509,43929954,216044038
44034735,216262873,43968064,216196433
43919222,216071702,43852549,216005258
44052529,216249711,43985832,216183247
43959459,216089865,43892767,216023389
44087457,216261898,44020767,216195423
44011632,216426291,43944943,216359824
44014237,216155425,43947535,216088931
43946230,216100510,43879547,216034058
44018092,216338936,43951399,216272468
43908816,216076508,43842123,216010032
44060715,216174456,43994016,216107989
43884458,216083942,43817775,216017494
44049123,216237768,43982445,216171293
43978782,216143771,43912079,216077282
43915054,216118909,43848366,216052434
43933219,216058753,43866534,215992285
43924141,216068367,43857451,216001875
43985579,216061181,43918900,215994709
44093661,216321217,44026977,216254755
44093740,216222830,44027052,216156372
44021057,216394344,43954370,216327871
44024617,216280174,43957936,216213719
43953466,216076385,43886781,216009926
44069422,216233309,44002743,216166866
44071955,216223639,44005265,216157165
43952235,216147777,43885545,216081301
43997825,216292116,43931143,216225663
43879992,216100207,43813296,216033736
44000605,216119382,43933908,216052899
43932704,216118155,43866025,216051680
43928276,216177362,43861595,216110892
43920725,215997528,43854041,215931051
43968932,216151555,43902249,216085084
43961790,216084964,43895097,216018498
44033967,216337920,43967280,216271441
44028798,216167968,43962118,216101506
44034853,216293507,43968172,216227035
44017885,216170709,43951194,216104227
44026572,216298711,43959892,216232244
43956002,216144005,43889320,216077534
44003743,215971848,43937073,215905377
43936866,215971654,43870185,215905182
43999978,216260786,43933296,216194326
43916708,216065538,43850020,215999068
43990558,216104849,43923877,216038370
44031548,216147816,43964855,216081348
43926600,216041311,43859897,215974840
44034589,216314257,43967904,216247779
43999656,216145407,43932979,216078936
44034742,216311531,43968057,216245066
43973927,216149628,43907244,216083161
43951907,216091792,43885219,216025309
44027170,216100495,43960484,216034014
44017573,216140289,43950892,216073819
44069478,216292175,44002795,216225690
44009270,216024699,43942578,215958218
44049392,216398279,43982700,216331792
44057209,216294196,43990524,216227719
43989853,216049741,43923166,215983267
43990093,216169318,43923398,216102835
43994350,216126640,43927666,216060178
43931091,216074192,43864415,216007725
44029761,216208479,43963069,216142015
44037798,216001283,43971115,215934810
43960816,216149420,43894142,216082960
43979690,216005632,43913002,215939158
44096448,216287201,44029745,216220736
44038316,216086772,43971631,216020308
43960296,216082867,43893615,216016408
44081961,216153710,44015257,216087255
44022502,216088264,43955811,216021786
44014280,216373473,43947595,216307000
43994822,215931092,43928138,215864634
43927209,216192777,43860510,216126295
43992169,216197419,43925480,216130967
44056781,215996117,43990082,215929651
43923736,216147049,43857068,216080616
44060130,216037844,43993421,215971358
44044395,216039242,43977693,215972757
43915941,216051967,43849256,215985499
43916975,216125182,43850282,216058705
44097198,216273117,44030523,216206674
43955996,216041605,43889307,215975140
43952558,216090613,43885875,216024146
44024930,216331081,43958243,216264606
43963180,216078452,43896490,216011988
44021294,216290645,43954602,216224210
44008340,215979537,43941629,215913068
44000035,216033917,43933357,215967453
43994385,216063633,43927685,215997167
43954473,216039517,43887800,215973079
44012865,216048205,43946165,215981759
43991933,216066065,43925251,215999619
43984402,216000395,43917692,215933934
43983520,216063190,43916842,215996768
44057049,216250836,43990355,216184359
44031779,216084605,43965087,216018141
44048437,216118611,43981746,216052171
43993952,216056908,43927239,215990432
44041965,216331931,43975268,216265491
43988261,215993975,43921575,215927515
43978143,216004609,43911461,215938145
44026413,216081757,43959731,216015315
44029054,216201998,43962363,216135554
44082388,216209605,44015687,216143148
44030811,216413758,43964108,216347301
43961387,216139605,43894696,216073173
43951903,216230003,43885210,216163553
44022266,216338332,43955567,216271878
43955949,216144012,43889275,216077587
43999914,216419543,43933232,216353110
43953899,216237199,43887214,216170773
44004771,215982567,43938072,215916125
43953314,216157406,43886636,216090974
43992610,216112496,43925902,216046046
44003316,216135052,43936627,216068620
43879974,216185683,43813271,216119258
44062386,216312023,43995691,216245582
44056867,216180823,43990176,216114397
44001037,216055420,43934336,215988979
44035337,216020606,43968644,215954167
43994385,216063619,43927681,215997167
44111652,216334429,44044954,216267996
43984680,216174680,43917981,216108248
43985132,216108183,43918445,216041748
43911346,216072920,43844648,216006478
43982433,215994654,43915740,215928223
44098045,216276358,44031354,216209923
44042087,216337437,43975407,216271001
43916972,216081104,43850278,216014676
43915180,216065509,43848478,215999060
43970138,216129865,43903431,216063398
44018864,216419553,43952166,216353104
44033321,216317539,43966633,216251095
44003817,216114591,43937125,216048151
43947696,216093390,43881009,216026960
44021586,216426041,43954889,216359598
44070249,216280608,44003554,216214167
44061469,216050799,43994787,215984355
43958465,216087250,43891762,216020799
43953267,216157465,43886574,216091021
44004394,216352085,43937700,216285654
43988393,215977956,43921699,215911511
43988201,216122527,43921500,216056087
43995222,216115011,43928529,216048554
43939847,216043405,43873141,215976953
43996072,216123878,43929375,216057432
44060505,216264248,43993808,216197799
44111723,216199696,44045039,216133269
43932978,216162385,43866299,216095950
44023969,216349412,43957281,216282975
44111864,216067476,44045169,216001032
44107670,216245758,44040963,216179306
44051289,216316989,43984588,216250535
44022446,216343777,43955750,216277330
44086061,216132187,44019371,216065747
43978595,216149035,43911902,216082589
44027292,216201710,43960621,216135268
44022763,216286104,43956076,216219669
43974198,216150871,43907501,216084426
44038325,216258776,43971637,216192331
43949785,216079558,43883077,216013095
44006560,216153341,43939870,216086880
44029006,216258892,43962303,216192434
44080590,216209355,44013891,216142898
43999450,216054456,43932775,215988006
43997742,216047988,43931046,215981522
43995547,216121348,43928839,216054885
43917162,216115233,43850474,216048790
43932132,216192928,43865452,216126492
43883641,216033052,43816946,215966599
43947250,216048290,43880559,215981838
43942628,216168079,43875948,216101660
43932970,215983710,43866279,215917270
43992043,216110497,43925350,216044053
43877680,216169042,43810981,216102608
43986109,216132811,43919415,216066371
44062823,216229165,43996125,216162713
44045791,216187845,43979091,216121377
44041451,216005292,43974760,215938837
44110257,216261587,44043574,216195151
43988605,216143637,43921913,216077187
43989356,216059930,43922672,215993492
44033728,216091335,43967033,216024896
43965481,216160095,43898795,216093655
44035016,216257997,43968325,216191544
44087676,216285723,44020974,216219268
43955478,216135289,43888788,216068842
44032710,216155852,43966014,216089402
43956379,216203019,43889672,216136549
44019340,216140035,43952642,216073588
43955814,216014115,43889125,215947674
43974161,216158093,43907453,216091631
43964779,216152631,43898074,216086165
44034661,216395564,43967974,216329115
44003676,215981617,43936988,215915172
43962405,216158550,43895720,216092123
44022005,216142486,43955310,216076043
43947428,216036317,43880739,215969884
44001861,216121672,43935167,216055227
44073574,216371007,44006879,216304538
44016055,216158678,43949372,216092233
43996548,216101391,43929847,216034940
44066732,216307176,44000035,216240724
44073959,216049094,44007243,215982617
44072857,216045567,44006157,215979111
44008080,216370956,43941380,216304496
44010867,216174616,43944185,216108173
43960497,215971035,43893806,215904591
44044292,216329620,43977592,216263164
43983723,216063007,43917038,215996565
43994797,216123096,43928112,216056659
43879903,216178113,43813203,216111649
43927677,216070413,43860995,216003971
44043567,216339031,43976887,216272593
43987816,216051222,43921141,215984792
