TR1,TR2,TP1,TP2
43989390,216331228,43922779,216263794
43989534,216366398,43922946,216298978
44030655,216351385,43964069,216283969
44047781,216411572,43981191,216344155
44023489,216379042,43956891,216311615
44001226,216386462,43934625,216319030
43955889,216401598,43889298,216334159
43925922,216395202,43859329,216327774
44063417,216178863,43996811,216111431
43948898,216294907,43882313,216227486
43995568,216249268,43928974,216181840
43996630,216334733,43930042,216267306
44037098,216362880,43970495,216295446
44034536,216391031,43967948,216323608
44035037,216301449,43968442,216234019
43966914,216325034,43900317,216257598
43994053,216389532,43927460,216322107
44002314,216291679,43935712,216224246
43958842,216283440,43892242,216216006
43996262,216236281,43929669,216168858
44023473,216360114,43956875,216292687
44041499,216351819,43974905,216284389
43913064,216291833,43846466,216224408
44096883,216420330,44030287,216352909
44030764,216313915,43964172,216246484
44082833,216571608,44016240,216504175
43998215,216403810,43931618,216336377
44000660,216341463,43934065,216274028
43995933,216432205,43929333,216364771
44057753,216351948,43991163,216284519
43990550,216461653,43923945,216394218
43952496,216450038,43885896,216382608
44023445,216282835,43956854,216215403
44038545,216361952,43971941,216294511
44074592,216643832,44008006,216576416
44052758,216567893,43986154,216500458
44055943,216624100,43989347,216556665
43934165,216387479,43867575,216320043
43944937,216299384,43878354,216231959
43992050,216337258,43925457,216269838
44034532,216343951,43967940,216276508
44034931,216379897,43968344,216312461
44022515,216359538,43955926,216292109
44078859,216408167,44012252,216340725
43944243,216267320,43877644,216199885
44066166,216394234,43999565,216326794
44059512,216336370,43992922,216268936
44116840,216631806,44050244,216564376
44024671,216373253,43958091,216305825
43912030,216296471,43845432,216229026
43958546,216423518,43891948,216356078
43982482,216482525,43915883,216415086
43999193,216347018,43932608,216279591
44035374,216422455,43968788,216355026
44028538,216391414,43961937,216323974
43955665,216272290,43889071,216204847
43989760,216298090,43923166,216230656
44009541,216332577,43942950,216265147
44061578,216279527,43994990,216212086
44034275,216363659,43967678,216296221
44040224,216357705,43973638,216290272
43959010,216437882,43892424,216370462
43967809,216333873,43901214,216266431
43960709,216286702,43894116,216219259
43997103,216366534,43930507,216299089
44053399,216405984,43986800,216338537
43923899,216379832,43857298,216312389
43926133,216473843,43859547,216406411
43986722,216465980,43920134,216398558
44070851,216461228,44004257,216393789
44000435,216318650,43933837,216251213
43889635,216488345,43823036,216420893
43965159,216492682,43898572,216425241
44055061,216388956,43988471,216321515
43971455,216362467,43904871,216295041
43918559,216508567,43851972,216441121
44041707,216360835,43975115,216293397
43966225,216335452,43899631,216268015
44044381,216295168,43977796,216227747
44004789,216217029,43938190,216149579
44025602,216432244,43959006,216364798
44089843,216496005,44023243,216428557
43994805,216324281,43928213,216256843
43986854,216239555,43920258,216172122
44010152,216217795,43943554,216150360
43960761,216373704,43894158,216306247
43924710,216317563,43858125,216250138
44030538,216397103,43963936,216329654
43915102,216327186,43848514,216259746
43963931,216278359,43897339,216210917
44021450,216486056,43954861,216418614
43921813,216307677,43855215,216240235
43997771,216273195,43931183,216205749
44042825,216422188,43976233,216354743
43956262,216250699,43889672,216183258
44109331,216481117,44042748,216413677
44089824,216354708,44023229,216287264
43955041,216448013,43888459,216380575
44082902,216316067,44016311,216248618
44059699,216624957,43993102,216557517
43996656,216387978,43930053,216320528
43998122,216316891,43931522,216249430
44030841,216473085,43964241,216405639
44039527,216292358,43972937,216224921
43966901,216439736,43900311,216372299
43982826,216434046,43916238,216366614
44077033,216554372,44010448,216486935
44006818,216296413,43940222,216228958
44002644,216289834,43936039,216222380
44069188,216620081,44002594,216552636
44031298,216420396,43964714,216352958
43920794,216498634,43854201,216431206
44052500,216345433,43985908,216277996
43948049,216325477,43881463,216258031
43983795,216416688,43917209,216349261
44010299,216362037,43943705,216294597
44070060,216481991,44003464,216414548
44000823,216414006,43934229,216346569
44036081,216336250,43969488,216268815
44107176,216280522,44040579,216213080
43995937,216432718,43929354,216365279
44023885,216440619,43957300,216373171
43963243,216283668,43896645,216216213
44036753,216368356,43970164,216300911
44023745,216296887,43957148,216229439
43963109,216294539,43896522,216227099
44019232,216320338,43952633,216252896
44113198,216531004,44046609,216463570
44035221,216340184,43968651,216272747
43957816,216466735,43891223,216399304
43983339,216414592,43916756,216347157
43958170,216461776,43891591,216394342
43967426,216274862,43900833,216207422
44086894,216614148,44020303,216546706
44002712,216397773,43936130,216330344
43948712,216274106,43882122,216206680
44028792,216306163,43962209,216238728
44002421,216221934,43935828,216154507
44025202,216393721,43958602,216326286
44022948,216209083,43956369,216141660
44082643,216499611,44016043,216432173
44006622,216321173,43940020,216253730
43875750,216234947,43809161,216167514
44072575,216564468,44005976,216497025
43917697,216193514,43851102,216126079
44057721,216448753,43991140,216381319
43988715,216404617,43922112,216337173
43909413,216302674,43842811,216235227
44041115,216361934,43974534,216294501
44021213,216290712,43954618,216223267
43989451,216412589,43922858,216345141
43953050,216308187,43886459,216240742
44067548,216264337,44000957,216196900
44040725,216341340,43974133,216273899
44040642,216301482,43974058,216234046
43983717,216456721,43917127,216389275
44044488,216295090,43977895,216227640
44063714,216499070,43997127,216431646
44004122,216475231,43937532,216407782
44025427,216318234,43958840,216250797
43984351,216454038,43917764,216386593
43992446,216295412,43925858,216227970
44060972,216682565,43994378,216615124
43993329,216248963,43926734,216181519
44107519,216531568,44040925,216464129
43962117,216370290,43895526,216302843
43954397,216252554,43887812,216185123
44018804,216209145,43952212,216141708
43999678,216332204,43933090,216264770
43920675,216461396,43854074,216393949
43883615,216329501,43817014,216262049
